feature_name,category,input_fields,formula_or_definition,gap_behavior,default_model_role,leakage_risk,notes
target_aligned_25,alignment_or_qc,guide_seq; target_at_guide,See build script and source-preserving alignment rules.,preserved,metadata_only,exclude_or_metadata,
target_ungapped,alignment_or_qc,guide_seq; target_at_guide,See build script and source-preserving alignment rules.,preserved,metadata_only,exclude_or_metadata,
alignment_has_gap,alignment_or_qc,guide_seq; target_at_guide,See build script and source-preserving alignment rules.,preserved,metadata_only,exclude_or_metadata,
alignment_event_status,alignment_or_qc,guide_seq; target_at_guide,See build script and source-preserving alignment rules.,preserved,metadata_only,exclude_or_metadata,
alignment_qc_status,alignment_or_qc,guide_seq; target_at_guide,See build script and source-preserving alignment rules.,preserved,metadata_only,exclude_or_metadata,
default_training_eligibility,alignment_or_qc,guide_seq; target_at_guide,See build script and source-preserving alignment rules.,preserved,metadata_only,exclude_or_metadata,
aligned_difference_count,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
substitution_count,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
gap_count_target,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
gap_count_guide,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
pam_difference_count,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
spacer_difference_count,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
first_difference_position_1based,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
last_difference_position_1based,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
longest_match_run,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
longest_substitution_run,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
longest_target_gap_run,pair_alignment,crRNA_sequence; target_aligned_25,Direct 25-position guide-to-target comparison.,gap is a separate event,candidate_input,none_known,
difference_pos_01,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 1 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_01,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 1 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_01,pair_position,target_aligned_25,1 if aligned target position 1 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_02,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 2 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_02,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 2 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_02,pair_position,target_aligned_25,1 if aligned target position 2 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_03,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 3 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_03,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 3 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_03,pair_position,target_aligned_25,1 if aligned target position 3 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_04,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 4 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_04,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 4 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_04,pair_position,target_aligned_25,1 if aligned target position 4 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_05,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 5 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_05,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 5 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_05,pair_position,target_aligned_25,1 if aligned target position 5 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_06,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 6 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_06,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 6 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_06,pair_position,target_aligned_25,1 if aligned target position 6 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_07,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 7 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_07,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 7 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_07,pair_position,target_aligned_25,1 if aligned target position 7 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_08,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 8 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_08,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 8 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_08,pair_position,target_aligned_25,1 if aligned target position 8 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_09,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 9 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_09,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 9 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_09,pair_position,target_aligned_25,1 if aligned target position 9 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_10,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 10 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_10,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 10 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_10,pair_position,target_aligned_25,1 if aligned target position 10 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_11,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 11 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_11,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 11 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_11,pair_position,target_aligned_25,1 if aligned target position 11 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_12,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 12 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_12,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 12 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_12,pair_position,target_aligned_25,1 if aligned target position 12 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_13,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 13 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_13,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 13 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_13,pair_position,target_aligned_25,1 if aligned target position 13 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_14,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 14 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_14,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 14 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_14,pair_position,target_aligned_25,1 if aligned target position 14 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_15,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 15 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_15,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 15 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_15,pair_position,target_aligned_25,1 if aligned target position 15 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_16,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 16 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_16,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 16 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_16,pair_position,target_aligned_25,1 if aligned target position 16 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_17,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 17 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_17,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 17 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_17,pair_position,target_aligned_25,1 if aligned target position 17 is '-'.,explicit target-channel gap,candidate_input,none_known,
difference_pos_18,pair_position,crRNA_sequence; target_aligned_25,"1 if aligned position 18 is substitution or gap, else 0.",gap contributes 1,candidate_input,none_known,
substitution_pos_18,pair_position,crRNA_sequence; target_aligned_25,1 if aligned position 18 is an A/C/G/T substitution.,gap contributes 0,candidate_input,none_known,
target_gap_pos_18,pair_position,target_aligned_25,1 if aligned target position 18 is '-'.,explicit target-channel gap,candidate_input,none_known,
